Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Phuong Dao,Google,https://scholar.google.com/citations?view_op=view_org&hl=en&org=6518679690484165796,Verified email at google.com - Homepage,http://phuongdao1.github.io/,7792,5235,20,17,23,19,AlgorithmsMachine LearningBioinformatics,https://scholar.google.com/citations?hl=en&user=oBK7mFEAAAAJ
Tri Dao,"Princeton University, Together AI",https://scholar.google.com/citations?view_op=view_org&hl=en&org=4836318610601440500,Verified email at princeton.edu - Homepage,https://tridao.me/,6010,5999,28,28,36,36,Machine learningSystems,https://scholar.google.com/citations?hl=en&user=NQRw0bQAAAAJ
Dao-Qing Dai,Sun Yat-Sen University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=8846640109879222335,Verified email at mail.sysu.edu.cn,,4277,1674,40,27,86,55,machine learning,https://scholar.google.com/citations?hl=en&user=wghJ4rkAAAAJ
Lan Dao,"MD, University of Montreal",https://scholar.google.com/citations?view_op=view_org&hl=en&org=4964519586676348649,Verified email at umontreal.ca - Homepage,https://mila.quebec/en/person/lan-dao/,2504,2483,5,5,4,4,MedicineMachine Learning,https://scholar.google.com/citations?hl=en&user=ndHYI9MAAAAJ
David Dao,GainForest; ETH Zurich,https://scholar.google.com/citations?view_op=view_org&hl=en&org=4424634556969671199,Verified email at inf.ethz.ch - Homepage,https://daviddao.org/,1382,1309,15,14,15,15,Machine LearningData MarketplacesGame TheoryComputational SustainabilityComputational Biology,https://scholar.google.com/citations?hl=en&user=XHeNA_8AAAAJ
Phuong D. Dao,"Asst. Professor at Colorado State University | UW-Madison PDF, UToronto PhD",https://scholar.google.com/citations?view_op=view_org&hl=en&org=3116594885559175154,Verified email at colostate.edu - Homepage,https://daolab.weebly.com/,1258,1220,13,13,15,15,remote sensingplant stressprecision agriculturemachine learning,https://scholar.google.com/citations?hl=en&user=Mvhn6uQAAAAJ
Minh N. Dao,RMIT University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=8943956419179841881,Verified email at rmit.edu.au - Homepage,https://sites.google.com/site/daonminh,1219,1069,20,18,32,31,Mathematical OptimizationConvex & Variational AnalysisControl TheorySignal ProcessingMachine Learning,https://scholar.google.com/citations?hl=en&user=qCEDJ_oAAAAJ
Minh Dao,Johns Hopkins University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=12129954330541958834,Verified email at jhu.edu,,1178,768,19,15,28,19,Signal ProcessingImage ProcessingMachine LearningComputer Vision,https://scholar.google.com/citations?hl=en&user=gLHgpykAAAAJ
Duy Tin Truong,University of Trento,https://scholar.google.com/citations?view_op=view_org&hl=en&org=17412445448750555742,Verified email at unitn.it,,6044,5212,12,12,13,12,Computational MetagenomicsData MiningMachine Learning,https://scholar.google.com/citations?hl=en&user=JiYbOlEAAAAJ
Charles Truong,"Centre Borelli, Ecole Normale Supérieure Paris-Saclay, CNRS",,Verified email at doffy.net,,1476,1437,9,9,9,9,Machine LearningSignal ProcessingOpen Source Software,https://scholar.google.com/citations?hl=en&user=3byuqG4AAAAJ
Anh Truong,Tubi,,No verified email,,1270,1243,16,16,29,27,AIMachine LearningRecommendation SystemsNLPLearning with Expert Advice,https://scholar.google.com/citations?hl=en&user=pSNfF34AAAAJ
Viet-Hung Truong,"Associate Professor of Structural Engineering, Faculty of Civil Engineering, Thuyloi University",,Verified email at tlu.edu.vn,,1211,1184,20,20,33,33,Machine learningAIOptimizationNonlinear analysisSteel structures,https://scholar.google.com/citations?hl=en&user=_JyCmWoAAAAJ
Truong Trong Nguyen,Microsoft,https://scholar.google.com/citations?view_op=view_org&hl=en&org=12331530069074480064,Verified email at microsoft.com - Homepage,https://sites.google.com/site/nttruong/,1047,127,17,7,26,5,signal processingimage processingmachine learning,https://scholar.google.com/citations?hl=en&user=zbH_VoIAAAAJ
John H. Phan,Guardant Health,,Verified email at guardanthealth.com,,4606,2318,25,20,41,27,Software EngineeringMachine LearningBioinformatics,https://scholar.google.com/citations?hl=en&user=Csu9BY4AAAAJ
Huy Phan,"Amazon, AGI",https://scholar.google.com/citations?view_op=view_org&hl=en&org=11215970455707674271,Verified email at amazon.com - Homepage,https://pquochuy.github.io/,4471,4039,33,32,79,69,Machine LearningAudioBiomedical EngineeringSleep,https://scholar.google.com/citations?hl=en&user=RegoACcAAAAJ
Hung Phan,"Visiting Professor of Chemistry, Soka University of America; Founding Faculty, Fulbright University",,Verified email at soka.edu - Homepage,https://www.comistrylab.org/,2153,1189,20,17,26,20,Computational Structural BiologyComputational ChemistryMachine Learning,https://scholar.google.com/citations?hl=en&user=dcM7tkcAAAAJ
