Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Long Mai,Research Scientist,,Verified email at adobe.com - Homepage,http://mai-t-long.com/,4496,4063,25,23,28,28,Computer VisionComputational PhotographyMachine Learning,https://scholar.google.com/citations?hl=en&user=QHCY1cgAAAAJ
Hoang Pham,Rutgers University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=3903766639137847059,Verified email at soe.rutgers.edu - Homepage,https://ise.rutgers.edu/hoang-pham,17873,7017,63,43,203,138,Reliability engineeringSoftware reliabilityreliability modelingmaintenance,https://scholar.google.com/citations?hl=en&user=PJXcWGAAAAAJ
Thai Son Hoang,"Associate Professor, University of Southampton",https://scholar.google.com/citations?view_op=view_org&hl=en&org=1346287526782559840,Verified email at soton.ac.uk - Homepage,https://www.southampton.ac.uk/people/5xfl2w/doctor-son-hoang,2145,941,21,14,39,22,Software EngineeringFormal Methods,https://scholar.google.com/citations?hl=en&user=mDYOIacAAAAJ
Thai Le,"Assistant Professor in Computer Science, Indiana University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=18243465982490009522,Verified email at iu.edu - Homepage,https://lethaiq.github.io/tql3/,1493,1468,18,18,24,24,Machine learning & AI,https://scholar.google.com/citations?hl=en&user=Fd8K7kAAAAAJ
Dinh Phung,"Professor, Monash University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=3918598370877205258,Verified email at monash.edu - Homepage,http://dinhphung.ml/,14412,9844,51,40,207,140,machine learningdeep learningoptimal transportprobabilistic inferenceartificial intelligence,https://scholar.google.com/citations?hl=en&user=OtA9SwIAAAAJ
Laurent Dinh,Apple,https://scholar.google.com/citations?view_op=view_org&hl=en&org=11540454294127154050,Verified email at apple.com - Homepage,https://laurent-dinh.github.io/,12682,10750,24,22,28,25,Machine LearningDeep LearningUnsupervised LearningGenerative ModellingNormalizing Flows,https://scholar.google.com/citations?hl=en&user=h7OHSkoAAAAJ
Dinh C. Nguyen,"Assistant Professor, University of Alabama in Huntsville, USA",https://scholar.google.com/citations?view_op=view_org&hl=en&org=14188202466546394623,Verified email at uah.edu - Homepage,https://sites.google.com/view/dinh-chi-nguyen/home,6703,6695,28,28,36,36,Federated LearningBlockchainWireless NetworkingInternet of ThingsSecurity,https://scholar.google.com/citations?hl=en&user=XrVFic8AAAAJ
Quoc Tran-Dinh,"Department of Statistics and Operations Research, UNC",https://scholar.google.com/citations?view_op=view_org&hl=en&org=13300367165038667747,Verified email at email.unc.edu - Homepage,http://quoctd.web.unc.edu/,4127,2770,34,28,67,59,convex optimizationnonlinear programmingoptimization for machine learning,https://scholar.google.com/citations?hl=en&user=Wyxqvt8AAAAJ
Cuong Dinh,Bol.com; The Netherlands Cancer Institute,,Verified email at bol.com,,3325,3078,14,11,16,11,Computer VisionNatural Language ProcessingDeep Learning,https://scholar.google.com/citations?hl=en&user=6H8h5zAAAAAJ
Thi Kieu Khanh Ho,McGill University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=13784427342582529234,Verified email at mcgill.ca,,450,449,10,10,11,11,Machine LearningDeep LearningAnomaly Detection,https://scholar.google.com/citations?hl=en&user=GKb618sAAAAJ
